PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B189-002,Male,Standard,,ANA_1011B189-002,ANA_1011B188-002,ANA_1011B191-002
ANA_1011B189-002,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-003,Male,Standard,,ANA_1011B189-003,ANA_1011B188-003,ANA_1011B191-003
ANA_1011B189-003,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-004,Male,Standard,,ANA_1011B189-004,ANA_1011B188-004,ANA_1011B191-021
ANA_1011B189-004,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-005,Male,Standard,,ANA_1011B189-005,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B189-005,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-020,Male,Standard,,ANA_1011B189-020,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-020,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-021,Male,Standard,,ANA_1011B189-021,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-021,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-022,Male,Standard,,ANA_1011B189-022,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-022,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-300,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-400,Male,Standard,,ANA_1011B189-400,ANA_1011B188-400,ANA_1011B191-021
ANA_1011B189-400,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-401,Male,Standard,,ANA_1011B189-401,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-401,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-402,Male,Standard,,ANA_1011B189-402,ANA_1011B188-402,ANA_1011B191-021
ANA_1011B189-402,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-403,Male,Standard,,ANA_1011B189-403,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-403,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-600,Male,Standard,,ANA_1011B189-600,ANA_1011B188-021,ANA_1011B191-021
